35
year,total,white,black,hispanic,asian,other
1976,10985600,9076100,1033000,383800,197900,289800
1977,-1,-1,-1,-1,-1,-1
1978,11231100,9194000,1054400,417200,235000,330400
1979,-1,-1,-1,-1,-1,-1
1980,12086800,9833000,1106800,471700,286400,388900
1981,-1,-1,-1,-1,-1,-1
1982,12387800,9997100,1101500,519300,351000,419000
1983,-1,-1,-1,-1,-1,-1
1984,12233000,9814600,1075800,515000,389500,418000
1985,-1,-1,-1,-1,-1,-1
1986,12503500,9920600,1082300,618000,447800,434700
1987,-1,-1,-1,-1,-1,-1
1988,13043100,10283200,1129600,679900,496700,453700
1989,-1,-1,-1,-1,-1,-1
1990,13818600,10722500,1247000,782400,572400,494300
1991,14359000,10989800,1335400,866600,637200,530100
1992,14491200,10870000,1393500,954400,696800,576400
1993,14305700,10603700,1410300,989000,724100,578500
1994,14278800,10427000,1448600,1045600,774300,583300
1995,14261800,10311200,1473700,1093800,797400,585700
1996,14300300,10266000,1499400,1152200,823600,598900
1997,14345400,10160900,1532800,1200100,851500,600100
1998,14507000,10178800,1582900,1257100,900500,587700
1999,14791200,10262500,1640700,1316600,909700,661700
2000,15312300,10462100,1730300,1461800,978200,679900
2001,15928000,10774500,1850400,1560600,1019000,723500
2002,16611700,11140200,1978700,1661700,1074200,756800
2003,16900500,11275400,2068900,1716000,1075700,764500
2004,17272000,11422800,2164700,1809600,1108700,766300
2005,17487500,11495400,2214600,1882000,1134400,761100
2006,17758900,11572400,2279600,1964300,1165500,777000
2007,18248100,11756200,2383400,2076200,1217900,814500
2008,19102800,12088800,2584500,2272900,1302800,853900
2009,20427700,12730800,2919800,2546700,1337700,892700
2010,21016100,12722500,3038800,2741400,1282200,906000
