33
year,total,white,black,hispanic,other
1978,306602,157208,143376,0,6018
1979,314006,161642,145383,0,6981
1980,328695,169274,150249,0,9172
1981,368772,190503,168129,0,10140
1982,414362,214741,189610,0,10011
1983,437238,225902,200216,0,11120
1984,462442,239428,209673,0,13341
1985,502376,260847,227137,0,14392
1986,545133,274701,246833,0,23599
1987,581020,291606,262958,0,26456
1988,-1,-1,-1,-1,-1
1989,712563,343550,334952,0,34061
1990,774375,369485,367122,0,37768
1991,824133,385347,395245,0,43541
1992,883656,409265,424686,0,49705
1993,932266,418900,445400,0,67966
1994,1054744,464167,501672,0,88905
1995,1126287,455021,544005,0,127261
1996,1180524,478308,585549,0,116667
1997,1240962,505513,590454,0,144995
1998,1299096,533238,616106,0,149752
1999,1222799,403700,558700,219500,40899
2000,1321200,471000,610300,216900,23000
2001,1344500,485400,622200,209900,27000
2002,1380300,472200,622700,250000,35400
2003,1409300,493400,621300,268100,26500
2004,1433800,491800,583400,275600,83000
2005,1461100,505500,577100,294900,83600
2006,1502200,527100,562800,308000,104300
2007,1532800,521900,586200,318800,105900
2008,1540100,528200,591900,313100,106900
2009,1548700,530200,591700,321000,105800
2010,1550600,499600,588000,345900,117100
